tam_lista, algoritmo, tipo, tempo, comparacoes, trocas
1000, comb, ord, 0.000034, 22, 0
10000, comb, ord, 0.000458, 31, 0
100000, comb, ord, 0.006051, 40, 0
1000000, comb, ord, 0.075282, 49, 0
10000000, comb, ord, 0.882259, 57, 0
2000, comb, ord, 0.000074, 25, 0
20000, comb, ord, 0.001024, 34, 0
200000, comb, ord, 0.012761, 42, 0
2000000, comb, ord, 0.156235, 51, 0
3000, comb, ord, 0.000116, 26, 0
30000, comb, ord, 0.001556, 35, 0
300000, comb, ord, 0.019976, 44, 0
3000000, comb, ord, 0.245500, 53, 0
4000, comb, ord, 0.000158, 27, 0
40000, comb, ord, 0.002149, 36, 0
400000, comb, ord, 0.027355, 45, 0
4000000, comb, ord, 0.332928, 54, 0
5000, comb, ord, 0.000211, 28, 0
50000, comb, ord, 0.002754, 37, 0
500000, comb, ord, 0.035111, 46, 0
5000000, comb, ord, 0.424083, 55, 0
6000, comb, ord, 0.000255, 29, 0
60000, comb, ord, 0.003407, 38, 0
600000, comb, ord, 0.043046, 47, 0
6000000, comb, ord, 0.508091, 55, 0
7000, comb, ord, 0.000309, 30, 0
70000, comb, ord, 0.003971, 38, 0
700000, comb, ord, 0.050251, 47, 0
7000000, comb, ord, 0.604715, 56, 0
8000, comb, ord, 0.000354, 30, 0
80000, comb, ord, 0.004686, 39, 0
800000, comb, ord, 0.058526, 48, 0
8000000, comb, ord, 0.690735, 56, 0
9000, comb, ord, 0.000411, 31, 0
90000, comb, ord, 0.005274, 39, 0
900000, comb, ord, 0.065900, 48, 0
9000000, comb, ord, 0.791578, 57, 0
1000, comb, rand, 0.000102, 4521, 4494
10000, comb, rand, 0.001349, 63594, 63558
100000, comb, rand, 0.016780, 817911, 817868
1000000, comb, rand, 0.208608, 10046969, 10046915
10000000, comb, rand, 2.554379, 120679526, 120679459
2000, comb, rand, 0.000211, 10173, 10145
20000, comb, rand, 0.002838, 136786, 136747
200000, comb, rand, 0.039253, 1772107, 1772052
2000000, comb, rand, 0.471536, 21954399, 21954335
3000, comb, rand, 0.000340, 16128, 16098
30000, comb, rand, 0.004671, 224780, 224737
300000, comb, rand, 0.058339, 2747304, 2747253
3000000, comb, rand, 0.681976, 32935835, 32935777
4000, comb, rand, 0.000468, 22616, 22585
40000, comb, rand, 0.006198, 300454, 300413
400000, comb, rand, 0.078720, 3766115, 3766063
4000000, comb, rand, 0.960926, 45406339, 45406276
5000, comb, rand, 0.000598, 29009, 28977
50000, comb, rand, 0.008401, 394041, 393995
500000, comb, rand, 0.101408, 4780150, 4780096
5000000, comb, rand, 1.226974, 57396054, 57395990
6000, comb, rand, 0.000734, 35631, 35598
60000, comb, rand, 0.009628, 465490, 465449
600000, comb, rand, 0.122518, 5797322, 5797268
6000000, comb, rand, 1.465364, 70094626, 70094563
7000, comb, rand, 0.000887, 41800, 41768
70000, comb, rand, 0.011943, 558964, 558920
700000, comb, rand, 0.150301, 7060135, 7060077
7000000, comb, rand, 1.751832, 82462473, 82462407
8000, comb, rand, 0.001109, 51316, 51277
80000, comb, rand, 0.013625, 645340, 645294
800000, comb, rand, 0.166545, 7978750, 7978696
8000000, comb, rand, 6.325403, 95722136, 95721742
9000, comb, rand, 0.001130, 55978, 55945
90000, comb, rand, 0.015731, 736649, 736603
900000, comb, rand, 0.197729, 9276272, 9276213
9000000, comb, rand, 2.293416, 107929513, 107929446
1000, comb, rev, 0.000047, 1605, 1582
10000, comb, rev, 0.000580, 20110, 20078
100000, comb, rev, 0.007318, 244215, 244174
1000000, comb, rev, 0.088740, 2872876, 2872826
10000000, comb, rev, 1.030911, 33679976, 33679918
2000, comb, rev, 0.000099, 3462, 3436
20000, comb, rev, 0.001254, 42669, 42634
200000, comb, rev, 0.015366, 524289, 524246
2000000, comb, rev, 0.184500, 6111322, 6111270
3000, comb, rev, 0.000157, 5433, 5406
30000, comb, rev, 0.001920, 67362, 67326
300000, comb, rev, 0.024074, 798011, 797966
3000000, comb, rev, 0.288955, 9280342, 9280288
4000, comb, rev, 0.000216, 7476, 7448
40000, comb, rev, 0.002664, 92271, 92234
400000, comb, rev, 0.032730, 1096252, 1096206
4000000, comb, rev, 0.391866, 12607389, 12607334
5000, comb, rev, 0.000275, 9601, 9572
50000, comb, rev, 0.003418, 116876, 116838
500000, comb, rev, 0.041715, 1378413, 1378366
5000000, comb, rev, 0.497645, 15957568, 15957512
6000, comb, rev, 0.000336, 11604, 11574
60000, comb, rev, 0.004177, 140355, 140316
600000, comb, rev, 0.051318, 1667876, 1667828
6000000, comb, rev, 0.595078, 19625288, 19625232
7000, comb, rev, 0.000398, 13507, 13476
70000, comb, rev, 0.004859, 169507, 169468
700000, comb, rev, 0.059451, 2000010, 1999962
7000000, comb, rev, 0.706833, 22839333, 22839276
8000, comb, rev, 0.000451, 15983, 15952
80000, comb, rev, 0.005652, 192702, 192662
800000, comb, rev, 0.069555, 2264103, 2264054
8000000, comb, rev, 0.810051, 26629769, 26629712
9000, comb, rev, 0.000523, 17636, 17604
90000, comb, rev, 0.006438, 221282, 221242
900000, comb, rev, 0.078166, 2609259, 2609210
9000000, comb, rev, 0.924894, 29814514, 29814456
