tam_lista, algoritmo, tipo, tempo, comparacoes, trocas
1000, insertion, ord, 0.000005, 999, 0
10000, insertion, ord, 0.000030, 9999, 0
100000, insertion, ord, 0.000269, 99999, 0
1000000, insertion, ord, 0.002668, 999999, 0
2000, insertion, ord, 0.000010, 1999, 0
20000, insertion, ord, 0.000056, 19999, 0
200000, insertion, ord, 0.000537, 199999, 0
3000, insertion, ord, 0.000012, 2999, 0
30000, insertion, ord, 0.000085, 29999, 0
300000, insertion, ord, 0.000804, 299999, 0
4000, insertion, ord, 0.000012, 3999, 0
40000, insertion, ord, 0.000110, 39999, 0
400000, insertion, ord, 0.001071, 399999, 0
5000, insertion, ord, 0.000014, 4999, 0
50000, insertion, ord, 0.000139, 49999, 0
500000, insertion, ord, 0.001336, 499999, 0
6000, insertion, ord, 0.000018, 5999, 0
60000, insertion, ord, 0.000162, 59999, 0
600000, insertion, ord, 0.001601, 599999, 0
7000, insertion, ord, 0.000021, 6999, 0
70000, insertion, ord, 0.000196, 69999, 0
700000, insertion, ord, 0.001871, 699999, 0
8000, insertion, ord, 0.000022, 7999, 0
80000, insertion, ord, 0.000217, 79999, 0
800000, insertion, ord, 0.002137, 799999, 0
9000, insertion, ord, 0.000028, 8999, 0
90000, insertion, ord, 0.000242, 89999, 0
900000, insertion, ord, 0.002663, 899999, 0
1000, insertion, rand, 0.001154, 242319, 241320
10000, insertion, rand, 0.116997, 24868551, 24858552
100000, insertion, rand, 11.832503, 2501001371, 2500901372
1000000, insertion, rand, 1188.907396, 250011143270, 250010143271
2000, insertion, rand, 0.004828, 1025112, 1023113
20000, insertion, rand, 0.468036, 99741642, 99721643
200000, insertion, rand, 47.525122, 10024899497, 10024699498
3000, insertion, rand, 0.010660, 2267915, 2264916
30000, insertion, rand, 1.054290, 224806128, 224776129
300000, insertion, rand, 106.802455, 22501917712, 22501617713
4000, insertion, rand, 0.018903, 4016798, 4012799
40000, insertion, rand, 1.880186, 400847388, 400807389
400000, insertion, rand, 190.193602, 40042158454, 40041758455
5000, insertion, rand, 0.028979, 6149500, 6144501
50000, insertion, rand, 2.930997, 623827106, 623777107
500000, insertion, rand, 297.369782, 62586531777, 62586031778
6000, insertion, rand, 0.043174, 9194877, 9188878
60000, insertion, rand, 4.232643, 899025652, 898965653
600000, insertion, rand, 427.973004, 90038104655, 90037504656
7000, insertion, rand, 0.057928, 12335341, 12328342
70000, insertion, rand, 5.788680, 1228575567, 1228505568
700000, insertion, rand, 582.486406, 122549721460, 122549021461
8000, insertion, rand, 0.075272, 16028142, 16020143
80000, insertion, rand, 7.531202, 1597094957, 1597014958
800000, insertion, rand, 761.174755, 160122156117, 160121356118
9000, insertion, rand, 0.094880, 20184156, 20175157
90000, insertion, rand, 9.550780, 2021584524, 2021494525
900000, insertion, rand, 962.345252, 202437836558, 202436936559
1000, insertion, rev, 0.002350, 500499, 499500
10000, insertion, rev, 0.234565, 50004999, 49995000
100000, insertion, rev, 23.707361, 5000049999, 4999950000
1000000, insertion, rev, 2378.167157, 500000499999, 499999500000
2000, insertion, rev, 0.009379, 2000999, 1999000
20000, insertion, rev, 0.938254, 200009999, 199990000
200000, insertion, rev, 94.986483, 20000099999, 19999900000
3000, insertion, rev, 0.021116, 4501499, 4498500
30000, insertion, rev, 2.116037, 450014999, 449985000
300000, insertion, rev, 213.814488, 45000149999, 44999850000
4000, insertion, rev, 0.037553, 8001999, 7998000
40000, insertion, rev, 3.760328, 800019999, 799980000
400000, insertion, rev, 380.231089, 80000199999, 79999800000
5000, insertion, rev, 0.058737, 12502499, 12497500
50000, insertion, rev, 5.893130, 1250024999, 1249975000
500000, insertion, rev, 594.366708, 125000249999, 124999750000
6000, insertion, rev, 0.084474, 18002999, 17997000
60000, insertion, rev, 8.501706, 1800029999, 1799970000
600000, insertion, rev, 855.871013, 180000299999, 179999700000
7000, insertion, rev, 0.114867, 24503499, 24496500
70000, insertion, rev, 11.587500, 2450034999, 2449965000
700000, insertion, rev, 1164.918718, 245000349999, 244999650000
8000, insertion, rev, 0.149963, 32003999, 31996000
80000, insertion, rev, 15.155550, 3200039999, 3199960000
800000, insertion, rev, 1521.597675, 320000399999, 319999600000
9000, insertion, rev, 0.189963, 40504499, 40495500
90000, insertion, rev, 19.190370, 4050044999, 4049955000
900000, insertion, rev, 1925.792531, 405000449999, 404999550000
