tam_lista, algoritmo, tipo, tempo, comparacoes, trocas
1000, merge, ord, 0.000085, 9976, 0
10000, merge, ord, 0.000926, 133616, 0
100000, merge, ord, 0.007743, 1668928, 0
1000000, merge, ord, 0.088205, 19951424, 0
10000000, merge, ord, 1.026909, 233222784, 0
2000, merge, ord, 0.000109, 21952, 0
20000, merge, ord, 0.001334, 287232, 0
200000, merge, ord, 0.015908, 3537856, 0
2000000, merge, ord, 0.184465, 41902848, 0
3000, merge, ord, 0.000172, 34904, 0
30000, merge, ord, 0.002059, 447232, 0
300000, merge, ord, 0.024569, 5475712, 0
3000000, merge, ord, 0.286039, 64805696, 0
4000, merge, ord, 0.000228, 47904, 0
40000, merge, ord, 0.002810, 614464, 0
400000, merge, ord, 0.033286, 7475712, 0
4000000, merge, ord, 0.385363, 87805696, 0
5000, merge, ord, 0.000359, 61808, 0
50000, merge, ord, 0.003562, 784464, 0
500000, merge, ord, 0.042054, 9475712, 0
5000000, merge, ord, 0.491805, 111611392, 0
6000, merge, ord, 0.000423, 75808, 0
60000, merge, ord, 0.004319, 954464, 0
600000, merge, ord, 0.051433, 11551424, 0
6000000, merge, ord, 0.596493, 135611392, 0
7000, merge, ord, 0.000419, 89808, 0
70000, merge, ord, 0.005108, 1128928, 0
700000, merge, ord, 0.061062, 13651424, 0
7000000, merge, ord, 0.704771, 159611392, 0
8000, merge, ord, 0.000480, 103808, 0
80000, merge, ord, 0.005910, 1308928, 0
800000, merge, ord, 0.069877, 15751424, 0
8000000, merge, ord, 0.807430, 183611392, 0
9000, merge, ord, 0.000556, 118616, 0
90000, merge, ord, 0.006681, 1488928, 0
900000, merge, ord, 0.079153, 17851424, 0
9000000, merge, ord, 0.920297, 208222784, 0
1000, merge, rand, 0.000101, 9976, 0
10000, merge, rand, 0.001277, 133616, 0
100000, merge, rand, 0.015664, 1668928, 0
1000000, merge, rand, 0.186701, 19951424, 0
10000000, merge, rand, 2.188375, 233222784, 0
2000, merge, rand, 0.000220, 21952, 0
20000, merge, rand, 0.002726, 287232, 0
200000, merge, rand, 0.033340, 3537856, 0
2000000, merge, rand, 0.392113, 41902848, 0
3000, merge, rand, 0.000351, 34904, 0
30000, merge, rand, 0.004224, 447232, 0
300000, merge, rand, 0.051759, 5475712, 0
3000000, merge, rand, 0.606819, 64805696, 0
4000, merge, rand, 0.000482, 47904, 0
40000, merge, rand, 0.005811, 614464, 0
400000, merge, rand, 0.069996, 7475712, 0
4000000, merge, rand, 0.821499, 87805696, 0
5000, merge, rand, 0.000602, 61808, 0
50000, merge, rand, 0.007378, 784464, 0
500000, merge, rand, 0.088713, 9475712, 0
5000000, merge, rand, 1.047253, 111611392, 0
6000, merge, rand, 0.000734, 75808, 0
60000, merge, rand, 0.008978, 954464, 0
600000, merge, rand, 0.108036, 11551424, 0
6000000, merge, rand, 1.266788, 135611392, 0
7000, merge, rand, 0.000870, 89808, 0
70000, merge, rand, 0.010626, 1128928, 0
700000, merge, rand, 0.128246, 13651424, 0
7000000, merge, rand, 1.490841, 159611392, 0
8000, merge, rand, 0.001005, 103808, 0
80000, merge, rand, 0.012382, 1308928, 0
800000, merge, rand, 0.147246, 15751424, 0
8000000, merge, rand, 1.718809, 183611392, 0
9000, merge, rand, 0.001139, 118616, 0
90000, merge, rand, 0.014014, 1488928, 0
900000, merge, rand, 0.166769, 17851424, 0
9000000, merge, rand, 1.948421, 208222784, 0
1000, merge, rev, 0.000059, 9976, 0
10000, merge, rev, 0.000640, 133616, 0
100000, merge, rev, 0.007541, 1668928, 0
1000000, merge, rev, 0.089433, 19951424, 0
10000000, merge, rev, 1.043928, 233222784, 0
2000, merge, rev, 0.000108, 21952, 0
20000, merge, rev, 0.001449, 287232, 0
200000, merge, rev, 0.015922, 3537856, 0
2000000, merge, rev, 0.187782, 41902848, 0
3000, merge, rev, 0.000174, 34904, 0
30000, merge, rev, 0.002069, 447232, 0
300000, merge, rev, 0.024850, 5475712, 0
3000000, merge, rev, 0.289194, 64805696, 0
4000, merge, rev, 0.000239, 47904, 0
40000, merge, rev, 0.002834, 614464, 0
400000, merge, rev, 0.033516, 7475712, 0
4000000, merge, rev, 0.389807, 87805696, 0
5000, merge, rev, 0.000299, 61808, 0
50000, merge, rev, 0.003571, 784464, 0
500000, merge, rev, 0.042932, 9475712, 0
5000000, merge, rev, 0.498875, 111611392, 0
6000, merge, rev, 0.000373, 75808, 0
60000, merge, rev, 0.004374, 954464, 0
600000, merge, rev, 0.052034, 11551424, 0
6000000, merge, rev, 0.605245, 135611392, 0
7000, merge, rev, 0.000439, 89808, 0
70000, merge, rev, 0.005171, 1128928, 0
700000, merge, rev, 0.061718, 13651424, 0
7000000, merge, rev, 0.706613, 159611392, 0
8000, merge, rev, 0.000497, 103808, 0
80000, merge, rev, 0.006022, 1308928, 0
800000, merge, rev, 0.070154, 15751424, 0
8000000, merge, rev, 0.814034, 183611392, 0
9000, merge, rev, 0.000566, 118616, 0
90000, merge, rev, 0.006767, 1488928, 0
900000, merge, rev, 0.079858, 17851424, 0
9000000, merge, rev, 0.925353, 208222784, 0
