tam_lista, algoritmo, tipo, tempo, comparacoes, trocas
1000, quick, ord, 0.000044, 8498, 511
10000, quick, ord, 0.000475, 119535, 5904
100000, quick, ord, 0.004811, 1534481, 65535
1000000, quick, ord, 0.050894, 18475732, 524287
10000000, quick, ord, 0.604000, 219028505, 5805696
2000, quick, ord, 0.000055, 18987, 1023
20000, quick, ord, 0.000743, 259056, 11808
200000, quick, ord, 0.009226, 3268946, 131071
2000000, quick, ord, 0.107211, 38951445, 1048575
3000, quick, ord, 0.000092, 30893, 1976
30000, quick, ord, 0.001122, 403631, 16383
300000, quick, ord, 0.014100, 5044660, 168928
3000000, quick, ord, 0.169365, 60757143, 1951424
4000, quick, ord, 0.000120, 41964, 2047
40000, quick, ord, 0.001563, 558097, 23616
400000, quick, ord, 0.019480, 6937875, 262143
4000000, quick, ord, 0.225249, 81902870, 2097151
5000, quick, ord, 0.000158, 54774, 2952
50000, quick, ord, 0.002031, 717248, 32767
500000, quick, ord, 0.024124, 8737875, 262143
5000000, quick, ord, 0.288682, 104514264, 2902848
6000, quick, ord, 0.000202, 67774, 3952
60000, quick, ord, 0.002437, 867248, 32767
600000, quick, ord, 0.029765, 10689301, 337856
6000000, quick, ord, 0.354461, 127514264, 3902848
7000, quick, ord, 0.000229, 79917, 4095
70000, quick, ord, 0.002859, 1026178, 37232
700000, quick, ord, 0.035369, 12689301, 437856
7000000, quick, ord, 0.414512, 149805719, 4194303
8000, quick, ord, 0.000269, 91917, 4095
80000, quick, ord, 0.003346, 1196178, 47232
800000, quick, ord, 0.041131, 14675732, 524287
8000000, quick, ord, 0.471811, 171805719, 4194303
9000, quick, ord, 0.000311, 105535, 4904
90000, quick, ord, 0.003844, 1366178, 57232
900000, quick, ord, 0.045854, 16575732, 524287
9000000, quick, ord, 0.536262, 195028505, 4805696
1000, quick, rand, 0.000092, 10087, 2572
10000, quick, rand, 0.001067, 138957, 33538
100000, quick, rand, 0.013018, 1891847, 409309
1000000, quick, rand, 0.149936, 21907422, 4866994
10000000, quick, rand, 1.733204, 251011207, 56728000
2000, quick, rand, 0.000189, 24278, 5497
20000, quick, rand, 0.002308, 293771, 72052
200000, quick, rand, 0.027590, 3867222, 869587
2000000, quick, rand, 0.315206, 45236605, 10234244
3000, quick, rand, 0.000292, 33198, 8958
30000, quick, rand, 0.003578, 451353, 112785
300000, quick, rand, 0.041962, 5889966, 1346290
3000000, quick, rand, 0.488099, 67728026, 15899924
4000, quick, rand, 0.000410, 51291, 12180
40000, quick, rand, 0.004872, 730641, 149966
400000, quick, rand, 0.057057, 7838433, 1842145
4000000, quick, rand, 0.673408, 101355707, 21348667
5000, quick, rand, 0.000505, 67994, 15487
50000, quick, rand, 0.006053, 833872, 193787
500000, quick, rand, 0.072493, 10627200, 2310075
5000000, quick, rand, 0.831968, 124631505, 27036929
6000, quick, rand, 0.000644, 78548, 19198
60000, quick, rand, 0.007470, 1052364, 235262
600000, quick, rand, 0.088137, 12433786, 2831030
6000000, quick, rand, 1.006929, 143048489, 33072857
7000, quick, rand, 0.000785, 89246, 22823
70000, quick, rand, 0.008731, 1209041, 278848
700000, quick, rand, 0.104042, 14164328, 3362416
7000000, quick, rand, 1.189823, 175277077, 38685276
8000, quick, rand, 0.000851, 110762, 26044
80000, quick, rand, 0.010218, 1344989, 325970
800000, quick, rand, 0.116949, 16767251, 3845174
8000000, quick, rand, 1.363461, 208999787, 44287724
9000, quick, rand, 0.000983, 123707, 29871
90000, quick, rand, 0.011596, 1582974, 368291
900000, quick, rand, 0.135557, 19915624, 4347311
9000000, quick, rand, 1.556156, 229677157, 50536966
1000, quick, rev, 0.000028, 8006, 1010
10000, quick, rev, 0.000338, 114548, 10904
100000, quick, rev, 0.004317, 1484496, 115534
1000000, quick, rev, 0.050758, 17975750, 1024286
10000000, quick, rev, 0.601348, 214028528, 10805696
2000, quick, rev, 0.000058, 17996, 2022
20000, quick, rev, 0.000724, 249070, 21808
200000, quick, rev, 0.009186, 3168962, 231070
2000000, quick, rev, 0.106860, 37951464, 2048574
3000, quick, rev, 0.000093, 29404, 3476
30000, quick, rev, 0.001113, 388644, 31382
300000, quick, rev, 0.014014, 4894678, 318928
3000000, quick, rev, 0.168495, 59257164, 3451424
4000, quick, rev, 0.000120, 39974, 4046
40000, quick, rev, 0.001551, 538112, 43616
400000, quick, rev, 0.019367, 6737892, 462142
4000000, quick, rev, 0.224314, 79902890, 4097150
5000, quick, rev, 0.000156, 52286, 5452
50000, quick, rev, 0.002041, 692262, 57766
500000, quick, rev, 0.023987, 8487892, 512142
5000000, quick, rev, 0.304866, 102014286, 5402848
6000, quick, rev, 0.000271, 64786, 6952
60000, quick, rev, 0.002396, 837262, 62766
600000, quick, rev, 0.029644, 10389320, 637856
6000000, quick, rev, 0.353170, 124514286, 6902848
7000, quick, rev, 0.000226, 76428, 7594
70000, quick, rev, 0.002843, 991194, 72232
700000, quick, rev, 0.035233, 12339320, 787856
7000000, quick, rev, 0.412872, 146305740, 7694302
8000, quick, rev, 0.000261, 87928, 8094
80000, quick, rev, 0.003318, 1156194, 87232
800000, quick, rev, 0.040995, 14275750, 924286
8000000, quick, rev, 0.469667, 167805740, 8194302
9000, quick, rev, 0.000297, 101048, 9404
90000, quick, rev, 0.003822, 1321194, 102232
900000, quick, rev, 0.045656, 16125750, 974286
9000000, quick, rev, 0.535859, 190528528, 9305696
