1000, shell, ord, 0.000086, 8006, 0
10000, shell, ord, 0.000747, 120005, 0
100000, shell, ord, 0.005593, 1500006, 0
1000000, shell, ord, 0.055406, 18000007, 0
10000000, shell, ord, 0.679087, 220000008, 0
2000, shell, ord, 0.000056, 18006, 0
20000, shell, ord, 0.000783, 260005, 0
200000, shell, ord, 0.009845, 3200006, 0
2000000, shell, ord, 0.117164, 38000007, 0
3000, shell, ord, 0.000092, 30007, 0
30000, shell, ord, 0.001177, 390007, 0
300000, shell, ord, 0.015636, 5100008, 0
3000000, shell, ord, 0.185368, 60000010, 0
4000, shell, ord, 0.000125, 40006, 0
40000, shell, ord, 0.001709, 560005, 0
400000, shell, ord, 0.021145, 6800006, 0
4000000, shell, ord, 0.247192, 80000007, 0
5000, shell, ord, 0.000168, 55005, 0
50000, shell, ord, 0.002131, 700006, 0
500000, shell, ord, 0.026029, 8500007, 0
5000000, shell, ord, 0.324896, 105000008, 0
6000, shell, ord, 0.000200, 66007, 0
60000, shell, ord, 0.002567, 840007, 0
600000, shell, ord, 0.033266, 10800008, 0
6000000, shell, ord, 0.388362, 126000010, 0
7000, shell, ord, 0.000233, 77007, 0
70000, shell, ord, 0.003197, 1050006, 0
700000, shell, ord, 0.038561, 12600009, 0
7000000, shell, ord, 0.453716, 147000012, 0
8000, shell, ord, 0.000276, 88006, 0
80000, shell, ord, 0.003654, 1200005, 0
800000, shell, ord, 0.044105, 14400006, 0
8000000, shell, ord, 0.518158, 168000007, 0
9000, shell, ord, 0.000332, 108005, 0
90000, shell, ord, 0.004115, 1350009, 0
900000, shell, ord, 0.049760, 16200011, 0
9000000, shell, ord, 0.611205, 198000007, 0
1000, shell, rand, 0.000133, 8006, 7538
10000, shell, rand, 0.001950, 120005, 156868
100000, shell, rand, 0.027006, 1500006, 2776744
1000000, shell, rand, 0.373082, 18000007, 50899137
10000000, shell, rand, 5.069421, 220000008, 814858129
2000, shell, rand, 0.000311, 18006, 19049
20000, shell, rand, 0.004321, 260005, 349995
200000, shell, rand, 0.059923, 3200006, 6770750
2000000, shell, rand, 0.829942, 38000007, 121313603
3000, shell, rand, 0.000480, 30007, 30686
30000, shell, rand, 0.006766, 390007, 589299
300000, shell, rand, 0.094607, 5100008, 10388397
3000000, shell, rand, 1.337025, 60000010, 199221447
4000, shell, rand, 0.000684, 40006, 45095
40000, shell, rand, 0.009729, 560005, 912707
400000, shell, rand, 0.135676, 6800006, 17415101
4000000, shell, rand, 1.939578, 80000007, 321712154
5000, shell, rand, 0.000872, 55005, 59331
50000, shell, rand, 0.012349, 700006, 1219839
500000, shell, rand, 0.166783, 8500007, 20360536
5000000, shell, rand, 2.373691, 105000008, 375315070
6000, shell, rand, 0.001078, 66007, 71656
60000, shell, rand, 0.014905, 840007, 1384351
600000, shell, rand, 0.208484, 10800008, 24706662
6000000, shell, rand, 2.908754, 126000010, 449511075
7000, shell, rand, 0.001282, 77007, 88810
70000, shell, rand, 0.017870, 1050006, 1734526
700000, shell, rand, 0.246114, 12600009, 29270817
7000000, shell, rand, 3.373099, 147000012, 511112269
8000, shell, rand, 0.001542, 88006, 119781
80000, shell, rand, 0.021669, 1200005, 2200108
800000, shell, rand, 0.301595, 14400006, 41346424
8000000, shell, rand, 4.239746, 168000007, 719039088
9000, shell, rand, 0.001703, 108005, 127051
90000, shell, rand, 0.024056, 1350009, 2205417
900000, shell, rand, 0.323998, 16200011, 39073833
9000000, shell, rand, 4.466034, 198000007, 709021088
1000, shell, rev, 0.000044, 8006, 4700
10000, shell, rev, 0.000553, 120005, 62560
100000, shell, rev, 0.007214, 1500006, 844560
1000000, shell, rev, 0.084164, 18000007, 9357504
10000000, shell, rev, 1.002557, 220000008, 107626176
2000, shell, rev, 0.000089, 18006, 10400
20000, shell, rev, 0.001184, 260005, 135120
200000, shell, rev, 0.015345, 3200006, 1789120
2000000, shell, rev, 0.177426, 38000007, 19715008
3000, shell, rev, 0.000143, 30007, 15692
30000, shell, rev, 0.001808, 390007, 206992
300000, shell, rev, 0.023329, 5100008, 2500880
3000000, shell, rev, 0.281774, 60000010, 30286848
4000, shell, rev, 0.000196, 40006, 22800
40000, shell, rev, 0.002579, 560005, 290240
400000, shell, rev, 0.033018, 6800006, 3778240
4000000, shell, rev, 0.375612, 80000007, 41430016
5000, shell, rev, 0.000256, 55005, 28780
50000, shell, rev, 0.003461, 700006, 397280
500000, shell, rev, 0.039918, 8500007, 4428752
5000000, shell, rev, 0.476607, 105000008, 51313088
6000, shell, rev, 0.000313, 66007, 34384
60000, shell, rev, 0.003943, 840007, 443984
600000, shell, rev, 0.049528, 10800008, 5301760
6000000, shell, rev, 0.592407, 126000010, 63573696
7000, shell, rev, 0.000362, 77007, 39420
70000, shell, rev, 0.004839, 1050006, 501072
700000, shell, rev, 0.058812, 12600009, 6413904
7000000, shell, rev, 0.703290, 147000012, 78862848
8000, shell, rev, 0.000423, 88006, 49600
80000, shell, rev, 0.005530, 1200005, 620480
800000, shell, rev, 0.068885, 14400006, 7956480
8000000, shell, rev, 0.788823, 168000007, 86860032
9000, shell, rev, 0.000513, 108005, 57180
90000, shell, rev, 0.006300, 1350009, 686240
900000, shell, rev, 0.076107, 16200011, 8207632
9000000, shell, rev, 0.921966, 198000007, 101855680
